"Trex bike for sale"| "Like new 54 inch trex road bike"| "new"|75|1
"mountain bike for sale"|"wanting to buy a new one for myself so I am selling my curent one"|"like new"|100|2
"gravel bike for trade"| "Like new. I have a problem so I like to buy bikes"|"very used"|700|3
"trade bikes with me"| "I have had my bike for a while and want to trade my bike for a different one"|"medium use"|200|4
"looking for a salsa mountain bike"| "I am fleixble on the type"|"old"|150|5
"ISO surly long haul trucker"| "Trying to go on a tour soon and want a good surly long haul trucket"|"new"|300|6
"Surly for sale"| "like new surly for sale"|"like new"|175|7
"steel frame bike for sale"| I have take this on multiple long term trips. It has seen better days"|"medium use"|500|8
"bike for sale"| "looking to get rid of my bike"|"old"|300|9
"selling my road bike"|"I am selling my road bike that I have had for a couple of years"|"very used"|600|10
